               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07885,            0.031217,            0.032758,             0.32134,             0.40536,             0.26536,            0.099161,             0.04539,            0.016493,            0.024031,           0.0033223,           0.0033223,            0.070099
                   1,            0.057748,            0.022632,            0.022014,             0.45946,              0.4649,             0.41824,             0.17701,             0.04164,            0.012768,             0.01607,           0.0059968,           0.0059968,             0.03944
                   2,            0.052813,            0.020377,             0.01567,             0.61465,             0.59611,             0.56727,             0.24535,            0.041602,             0.01204,            0.013325,           0.0080112,           0.0080112,           0.0081212
                   3,            0.046196,            0.019777,             0.01149,             0.70402,             0.68451,             0.72114,             0.35181,            0.036484,            0.012324,           0.0082609,             0.00703,             0.00703,             0.00703
                   4,            0.041478,            0.019048,            0.010131,             0.80775,              0.7318,             0.79605,             0.42458,            0.032331,            0.011382,             0.00587,             0.00703,             0.00703,             0.00703
                   5,            0.036964,            0.018523,           0.0086627,              0.8213,               0.741,             0.81364,              0.4417,            0.029881,             0.01072,           0.0058601,             0.00604,             0.00604,             0.00604
                   6,            0.035308,            0.018023,           0.0074564,             0.82024,             0.79403,             0.84337,             0.49332,            0.027375,            0.010674,           0.0053226,             0.00505,             0.00505,             0.00505
                   7,            0.033129,              0.0177,           0.0067113,             0.80101,             0.83294,             0.84773,             0.49881,            0.027625,            0.010409,           0.0037483,             0.00406,             0.00406,             0.00406
                   8,            0.031879,            0.017618,           0.0061004,             0.84418,              0.8368,             0.86298,             0.51014,              0.0267,            0.010179,           0.0030426,             0.00307,             0.00307,             0.00307
                   9,            0.030327,            0.016488,           0.0053709,             0.81544,             0.85512,             0.86535,             0.54149,            0.025474,            0.010184,           0.0029923,             0.00208,             0.00208,             0.00208
