               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081241,            0.029222,            0.033843,             0.19435,             0.40441,              0.1712,            0.038352,            0.056726,            0.014117,            0.027165,           0.0032836,           0.0032836,            0.070448
                   1,            0.060603,            0.020739,            0.023326,             0.35357,             0.33808,             0.26978,            0.068638,            0.059763,            0.010562,            0.019636,           0.0062894,           0.0062894,             0.04012
                   2,            0.056034,            0.018824,            0.015804,             0.46199,             0.48785,             0.45466,             0.18972,            0.046739,            0.011479,            0.016153,           0.0089652,           0.0089652,           0.0094627
                   3,            0.046432,            0.017003,            0.011559,             0.59694,             0.68742,             0.64134,              0.2763,             0.04064,            0.010243,            0.012151,            0.008515,            0.008515,            0.008515
                   4,            0.040828,            0.016635,            0.009762,             0.73814,             0.78696,             0.76545,             0.38762,            0.034813,           0.0092545,           0.0064251,            0.008515,            0.008515,            0.008515
                   5,            0.039496,             0.01607,           0.0087495,             0.75325,             0.84293,             0.82458,             0.45338,            0.032611,           0.0087632,           0.0046786,             0.00802,             0.00802,             0.00802
                   6,             0.03689,            0.015281,           0.0075105,             0.72975,             0.76005,             0.79932,             0.44688,             0.03236,           0.0087121,            0.010067,            0.007525,            0.007525,            0.007525
                   7,            0.035434,             0.01501,           0.0069106,              0.8005,             0.80243,              0.8329,             0.49241,            0.029769,           0.0086466,           0.0052298,             0.00703,             0.00703,             0.00703
                   8,            0.034653,            0.015441,           0.0062229,             0.81218,             0.83194,             0.86231,             0.50989,            0.029356,           0.0083835,           0.0047515,            0.006535,            0.006535,            0.006535
                   9,            0.033362,            0.014699,           0.0063091,             0.82547,             0.82164,             0.87023,             0.52483,            0.030474,           0.0081245,           0.0033229,             0.00604,             0.00604,             0.00604
                  10,            0.032252,            0.014756,           0.0062666,             0.83555,             0.80351,              0.8667,             0.51359,            0.031235,           0.0082316,            0.004574,            0.005545,            0.005545,            0.005545
                  11,            0.032132,            0.014462,           0.0053809,             0.83558,             0.86284,             0.88838,              0.5609,            0.027808,           0.0080776,           0.0038022,             0.00505,             0.00505,             0.00505
                  12,            0.030736,            0.014895,           0.0050813,             0.83809,             0.80204,              0.8695,              0.5483,            0.026745,           0.0080146,           0.0044116,            0.004555,            0.004555,            0.004555
                  13,            0.030047,             0.01386,           0.0044617,             0.83443,             0.85405,             0.88684,              0.5564,            0.027397,           0.0081148,           0.0026191,             0.00406,             0.00406,             0.00406
                  14,             0.02904,            0.013922,           0.0039121,             0.85062,             0.84841,             0.89906,             0.58463,            0.025853,           0.0076235,           0.0030209,            0.003565,            0.003565,            0.003565
                  15,            0.028769,            0.013736,           0.0043846,             0.84234,             0.86487,             0.90214,             0.58326,            0.025472,           0.0078478,           0.0026474,             0.00307,             0.00307,             0.00307
                  16,            0.027559,            0.013262,           0.0035842,             0.80712,             0.90921,             0.89726,             0.59158,            0.025963,            0.007706,           0.0022304,            0.002575,            0.002575,            0.002575
                  17,            0.027003,            0.013432,           0.0034611,             0.80785,             0.89087,             0.89399,             0.58023,            0.025367,           0.0080202,           0.0017557,             0.00208,             0.00208,             0.00208
                  18,             0.02691,              0.0136,           0.0031007,             0.83879,             0.87807,             0.90364,             0.59676,            0.024526,            0.007627,           0.0019016,            0.001585,            0.001585,            0.001585
                  19,             0.02614,            0.013158,           0.0031012,             0.83273,             0.88999,             0.90959,             0.61073,            0.024143,           0.0076017,           0.0019877,             0.00109,             0.00109,             0.00109
